Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2801 ED;Nieuwehaven;196;232;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EE;Nieuwehaven;234;296;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EG;Nieuwehaven;298;336;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EH;Lange Dwarsstraat;1;51;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EJ;Lange Dwarsstraat;2;46;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EK;Vrouwesteeg;1;43;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EK;Vrouwesteeg;2;34;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EL;Slapperdel;1;21;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EL;Slapperdel;2;26;GOUDA                   ;B-3;onbekend;;;;;;;
2801 EM;Kazernestraat;44;88;GOUDA                   ;B-6;onbekend;;;;;;;
2801 EN;Lem Dulstraat;1;51;GOUDA                   ;A-6;onbekend;;;;;;;
2801 EP;Lem Dulstraat;53;95;GOUDA                   ;A-6;onbekend;;;;;;;
2801 ER;Het Klooster;7;7;GOUDA                   ;B-6;onbekend;;;;;;;
2801 ES;Clarissenhof;1;21;GOUDA                   ;B-3;onbekend;;;;;;;
2801 ES;Clarissenhof;2;20;GOUDA                   ;B-3;onbekend;;;;;;;
2801 ET;Conventstraat;1;19;GOUDA                   ;A-6;onbekend;;;;;;;
2801 EW;Conventstraat;2;48;GOUDA                   ;A-6;onbekend;;;;;;;
2801 EX;Conventstraat;50;104;GOUDA                   ;A-6;onbekend;;;;;;;
2801 EZ;Conventstraat;106;156;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GA;Korte Vest;1;17;GOUDA                   ;B-6;onbekend;;;;;;;
2801 GA;Korte Vest;2;4;GOUDA                   ;B-6;onbekend;;;;;;;
2801 GB;Kleiweg;1;29;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GC;Kleiweg;31;65;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GD;Kleiweg;67;107;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GE;Kleiweg;2;8;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GG;Kleiweg;10;18;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GH;Kazernestraat;19;25;GOUDA                   ;B-6;onbekend;;;;;;;
2801 GH;Kleiweg;20;54;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GJ;Kleiweg;70;108;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GK;Kazernestraat;1;17;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GK;Kazernestraat;2;42;GOUDA                   ;A-6;onbekend;;;;;;;
2801 GL;Kleiwegstraat;1;33;GOUDA                   ;B-3;onbekend;;;;;;;
2801 GM;Kleiwegstraat;6;40;GOUDA                   ;B-3;onbekend;;;;;;;
