Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2802 KX;Singelstraat;1;23;GOUDA                   ;B-15;onbekend;;;;;;;
2802 KX;Singelstraat;2;50;GOUDA                   ;B-15;onbekend;;;;;;;
2802 KZ;Kerkhoflaan;1;19;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LA;Emmastraat;1;49;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LB;Emmastraat;2;8;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LC;J.P.Heyestraat;1;9;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LC;J.P.Heyestraat;2;20;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LD;1e E J Potgieterstraat;21;37;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LE;1e E J Potgieterstraat;4;38;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LG;Jacob van Lennepkade;1;41;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LH;Jacob van Lennepkade;2;22;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LJ;Tollensstraat;1;39;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LK;Tollensstraat;41;85;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LL;Tollensstraat;87;117;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LM;Tollensstraat;2;18;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LN;Tollensstraat;20;36;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LP;Tollensstraat;38;72;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LR;Tollensstraat;74;102;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LS;Constantijn Huygensstr;1;37;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LT;Constantijn Huygensstr;39;73;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LV;Constantijn Huygensstr;75;123;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LW;Constantijn Huygensstr;2;46;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LX;Constantijn Huygensstr;48;74;GOUDA                   ;B-15;onbekend;;;;;;;
2802 LZ;Constantijn Huygensstr;76;118;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NA;Nicolaas Beetsstraat;1;19;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NA;Nicolaas Beetsstraat;2;2;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NB;Roemer Visscherstraat;1;27;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NB;Roemer Visscherstraat;2;20;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NC;Helmersstraat;1;17;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ND;Helmersstraat;2;18;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NE;Bilderdijkstraat;1;17;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NE;Bilderdijkstraat;2;18;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NG;Vondelstraat;1;29;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NH;Vondelstraat;31;63;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NJ;Vondelstraat;2;30;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NK;Vondelstraat;32;66;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NL;P.C.Hooftstraat;1;3;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NL;P.C.Hooftstraat;2;2;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NM;P.C.Hooftstraat;4;8;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NM;P.C.Hooftstraat;5;9;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NN;Bosweg;1;33;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NP;Bosweg;35;65;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NR;Bosweg;67;93;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NS;Bosweg;95;137;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NT;Bosweg;2;24;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NV;Bosweg;38;70;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NW;Jan Philipsweg;1;53;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NX;Jan Philipsweg;55;101;GOUDA                   ;B-15;onbekend;;;;;;;
2802 NZ;Jan Philipsweg;2;48;GOUDA                   ;B-15;onbekend;;;;;;;
2802 PA;Vorstmanstraat;1;25;GOUDA                   ;B-15;onbekend;;;;;;;
2802 PA;Vorstmanstraat;2;24;GOUDA                   ;B-15;onbekend;;;;;;;
2802 PB;Vorstmanstraat;26;44;GOUDA                   ;B-15;onbekend;;;;;;;
2802 PB;Vorstmanstraat;27;45;GOUDA                   ;B-15;onbekend;;;;;;;
2802 PC;Vorstmanstraat;46;58;GOUDA                   ;B-15;onbekend;;;;;;;
2802 PC;Vorstmanstraat;47;59;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RA;Donkstraat;1;1;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RA;Donkstraat;4;4;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RB;Schielands Hoge Zeedijk;1;31;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RB;Schielands Hoge Zeedijk;2;24;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RC;Schielands Hoge Zeedijk;33;71;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RC;Schielands Hoge Zeedijk;70;70;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RD;Ankerpad;1;1;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RD;Ankerpad;2;4;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RE;Julianasluispad;1;1;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RZ;Gerard Leeustraat;1;19;GOUDA                   ;B-15;onbekend;;;;;;;
2802 RZ;Gerard Leeustraat;2;4;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SB;Walvisstraat;1;9;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SC;Walvisstraat;2;54;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SE;Walvisstraat;58;96;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SG;Westerkade;1;23;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SH;Westerkade;25;33;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SJ;Westerkade;35;69;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SK;Westerkade;71;161;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SL;Westerkade;2;26;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SM;Westerkade;28;62;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SN;Tweede Schoolstraat;1;23;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SN;Tweede Schoolstraat;2;18;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SP;Eerste Schoolstraat;1;17;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SR;Snoystraat;1;27;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ST;Snoystraat;29;61;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SV;Snoystraat;63;91;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SX;Snoystraat;2;40;GOUDA                   ;B-15;onbekend;;;;;;;
2802 SZ;Snoystraat;42;68;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TA;Nachtegaalstraat;1;1;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TA;Nachtegaalstraat;2;2;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TB;Burg Gaarlandtsingel;1;11;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TB;Burg Gaarlandtsingel;2;12;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TC;Burg Gaarlandtsingel;13;31;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TC;Burg Gaarlandtsingel;14;32;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TD;Burg Gaarlandtsingel;33;51;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TD;Burg Gaarlandtsingel;34;52;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TE;Burg Gaarlandtsingel;53;75;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TE;Burg Gaarlandtsingel;54;76;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TG;Burg Gaarlandtsingel;77;95;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TG;Burg Gaarlandtsingel;78;96;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TH;Burg Gaarlandtsingel;97;119;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TH;Burg Gaarlandtsingel;98;120;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TJ;Burg Gaarlandtsingel;121;133;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TJ;Burg Gaarlandtsingel;122;134;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TK;Burg Gaarlandtsingel;135;145;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TK;Burg Gaarlandtsingel;136;146;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TL;Aernout Drostkade;1;11;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TM;Aernout Drostkade;13;35;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TN;Aernout Drostkade;2;34;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TP;H.J.A.M.Schaepmanstraat;1;49;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TR;H.J.A.M.Schaepmanstraat;2;50;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TS;R C B vd Brinkstr;1;49;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TT;R C B vd Brinkstr;2;36;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TV;Tesselschadestraat;1;3;GOUDA                   ;B-15;onbekend;;;;;;;
2802 TV;Tesselschadestraat;2;2;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VA;2e E J Potgieterstraat;1;43;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VA;2e E J Potgieterstraat;2;2;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VB;2e E J Potgieterstraat;45;81;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VC;van der Palmstraat;1;43;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VD;van der Palmstraat;45;93;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VE;van der Palmstraat;2;26;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VG;van der Palmstraat;28;58;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VH;van der Palmstraat;60;88;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VJ;van der Palmstraat;90;124;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VK;Jacob Catsstraat;1;23;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VL;Jacob Catsstraat;33;65;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VM;Da Costakade;1;29;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VN;Da Costakade;31;69;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VP;Da Costakade;2;36;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VR;Da Costakade;38;62;GOUDA                   ;B-15;onbekend;;;;;;;
2802 VS;Da Costakade;64;88;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XA;Bosboom Toussaintkade;1;35;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XB;Bosboom Toussaintkade;2;24;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XC;C.Busken Huetstraat;1;25;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XD;C.Busken Huetstraat;2;22;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XE;De Genestetstraat;1;27;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XG;De Genestetstraat;2;34;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XH;Staringstraat;1;33;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XJ;Staringstraat;2;34;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XK;Vossiusstraat;1;41;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XL;Vossiusstraat;45;67;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XM;Vossiusstraat;69;93;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XN;Vossiusstraat;95;143;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XP;Vossiusstraat;2;46;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XR;Vossiusstraat;52;62;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XS;Vossiusstraat;64;76;GOUDA                   ;B-15;onbekend;;;;;;;
2802 XT;Vossiusstraat;78;102;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZA;Lisplantsoen;1;27;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZA;Lisplantsoen;2;26;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZB;Hoefbladstraat;1;9;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZB;Hoefbladstraat;2;12;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZC;Margrietplein;1;5;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZC;Margrietplein;2;6;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZD;Margrietplein;7;19;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZD;Margrietplein;8;20;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZE;Margrietplein;21;43;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZE;Margrietplein;22;34;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZG;Margrietplein;45;45;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZG;Margrietplein;46;68;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZH;Dotterplantsoen;1;9;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZJ;Dotterplantsoen;2;44;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZK;Madeliefstraat;1;17;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZK;Madeliefstraat;20;20;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZL;Wederikplantsoen;1;11;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZL;Wederikplantsoen;2;38;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZM;Hoornbloemstraat;1;7;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZM;Hoornbloemstraat;2;8;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZN;Teunisbloemstraat;1;7;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZN;Teunisbloemstraat;2;8;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZP;Pinksterbloemstraat;1;7;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZP;Pinksterbloemstraat;2;8;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZR;Boterbloemstraat;1;7;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZR;Boterbloemstraat;2;8;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZS;Ranonkelplantsoen;1;21;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZS;Ranonkelplantsoen;2;22;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZT;Speenkruidstraat;1;11;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZT;Speenkruidstraat;2;12;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZV;Hagewindestraat;1;7;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZV;Hagewindestraat;2;8;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZW;Gentiaanstraat;1;7;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZW;Gentiaanstraat;2;8;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZX;Ereprijsstraat;1;7;GOUDA                   ;B-15;onbekend;;;;;;;
2802 ZX;Ereprijsstraat;2;8;GOUDA                   ;B-15;onbekend;;;;;;;
2803 AA;Jasmijnlaan;1;25;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AB;Jasmijnlaan;2;26;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AC;Ligusterlaan;1;11;GOUDA                   ;B-8;onbekend;;;;;;;
2803 AD;Sneeuwbeslaan;1;25;GOUDA                   ;B-8;onbekend;;;;;;;
2803 AE;Sneeuwbeslaan;2;26;GOUDA                   ;B-8;onbekend;;;;;;;
2803 AG;Clematislaan;1;19;GOUDA                   ;B-8;onbekend;;;;;;;
2803 AG;Clematislaan;2;2;GOUDA                   ;B-8;onbekend;;;;;;;
2803 AH;Rhododendronsingel;2;8;GOUDA                   ;B-8;onbekend;;;;;;;
2803 AJ;Azaleasingel;1;17;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AK;Papaverstraat;1;31;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AL;Papaverstraat;33;63;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AM;Papaverstraat;2;28;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AN;Leliepad;1;11;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AN;Leliepad;2;28;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AP;Freesiapad;2;16;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AR;Crocuspad;1;7;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AR;Crocuspad;2;26;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AS;Gladiolenpad;1;17;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AT;Begoniapad;1;29;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AT;Begoniapad;2;10;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AV;Tulpenpad;1;25;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AV;Tulpenpad;2;8;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AW;Bloemendaalseweg;37;93;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AX;Petuniahof;1;1;GOUDA                   ;B-10;onbekend;;;;;;;
2803 AZ;de Groene Zoom;2;2;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BA;Vuurdoornlaan;1;35;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BB;Vuurdoornlaan;2;28;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BC;Vuurdoornlaan;30;44;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BD;Kamperfoelielaan;1;31;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BE;Kamperfoelielaan;33;63;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BG;Kamperfoelielaan;65;91;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BH;Heesterlaan;1;25;GOUDA                   ;B-8;onbekend;;;;;;;
2803 BJ;Heesterlaan;27;57;GOUDA                   ;B-8;onbekend;;;;;;;
2803 BK;Heesterlaan;59;77;GOUDA                   ;B-8;onbekend;;;;;;;
2803 BL;Heesterlaan;2;28;GOUDA                   ;B-8;onbekend;;;;;;;
2803 BM;Heesterlaan;30;64;GOUDA                   ;B-8;onbekend;;;;;;;
2803 BN;Ericalaan;1;39;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BP;Ericalaan;2;44;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BR;Forsythialaan;1;15;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BR;Forsythialaan;2;16;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BS;Hazelaarlaan;1;19;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BS;Hazelaarlaan;2;20;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BT;Ribeslaan;1;15;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BT;Ribeslaan;2;16;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BV;Bremlaan;1;19;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BV;Bremlaan;2;20;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BW;Hortensiasingel;1;15;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BX;Hortensiasingel;2;26;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BZ;Sleedoornsingel;1;7;GOUDA                   ;B-10;onbekend;;;;;;;
2803 BZ;Sleedoornsingel;2;20;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CA;Kornoeljelaan;1;15;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CB;Egelantierlaan;1;19;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CB;Egelantierlaan;2;20;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CC;Tweede Heesterhof;1;11;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CC;Tweede Heesterhof;2;12;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CD;Vierde Heesterhof;1;11;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CD;Vierde Heesterhof;2;12;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CE;Zesde Heesterhof;1;9;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CE;Zesde Heesterhof;2;8;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CG;Achtste Heesterhof;1;7;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CG;Achtste Heesterhof;2;8;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CH;Tiende Heesterhof;1;11;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CH;Tiende Heesterhof;2;20;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CK;Jacob Roggeveenhof;1;1;GOUDA                   ;B-7;onbekend;;;;;;;
2803 CL;Derde Heesterhof;10;10;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CM;Bosrankhof;1;5;GOUDA                   ;B-10;onbekend;;;;;;;
2803 CM;Bosrankhof;2;4;GOUDA                   ;B-10;onbekend;;;;;;;
2803 DA;Groenhovenweg;1;47;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DB;Groenhovenweg;49;107;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DC;Groenhovenweg;109;157;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DD;Groenhovenweg;159;205;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DE;Groenhovenweg;207;259;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DG;Groenhovenweg;261;305;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DH;Groenhovenweg;307;353;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DJ;Groenhovenweg;355;381;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DK;Groenhovenweg;383;419;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DL;Groenhovenweg;501;503;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DM;Heuvellaan;2;2;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DN;Heuvellaan;4;48;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DP;Heuvellaan;50;92;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DR;Heuvellaan;94;150;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DS;Heuvellaan;152;176;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DT;Heuvellaan;1;3;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DV;Heuvellaan;5;65;GOUDA                   ;B-11;onbekend;;;;;;;
2803 DW;Heuvellaan;67;119;GOUDA                   ;B-11;onbekend;;;;;;;
2803 EA;Orteliuslaan;1;11;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EB;Orteliuslaan;13;23;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EC;Orteliuslaan;25;35;GOUDA                   ;B-8;onbekend;;;;;;;
2803 ED;Olivier van Noortlaan;1;57;GOUDA                   ;B-8;onbekend;;;;;;;
2803 ED;Olivier van Noortlaan;2;16;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EE;Planciuslaan;1;15;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EE;Planciuslaan;2;16;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EG;Jacob Roggeveenlaan;1;15;GOUDA                   ;B-6;onbekend;;;;;;;
2803 EG;Jacob Roggeveenlaan;2;16;GOUDA                   ;B-6;onbekend;;;;;;;
2803 EH;Joris van Spilbergenlaan;1;15;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EH;Joris van Spilbergenlaan;2;16;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EJ;Simon van der Stellaan;1;15;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EJ;Simon van der Stellaan;2;16;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EK;Balthazar de Moucheronln;1;15;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EK;Balthazar de Moucheronln;2;16;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EL;Livingstonelaan;1;23;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EL;Livingstonelaan;2;60;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EM;Livingstonelaan;25;51;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EN;Mercatorsingel;1;7;GOUDA                   ;B-8;onbekend;;;;;;;
2803 EP;Mercatorsingel;2;40;GOUDA                   ;B-8;onbekend;;;;;;;
2803 ER;Mercatorsingel;42;90;GOUDA                   ;B-8;onbekend;;;;;;;
2803 ES;Livingstonehof;1;5;GOUDA                   ;B-7;onbekend;;;;;;;
2803 ES;Livingstonehof;2;6;GOUDA                   ;B-7;onbekend;;;;;;;
2803 ET;Columbuslaan;1;19;GOUDA                   ;B-7;onbekend;;;;;;;
2803 ET;Columbuslaan;2;6;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EV;Columbushof;1;7;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EV;Columbushof;2;6;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EW;R.F.Burtonlaan;2;16;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EX;Mercatorhof;1;7;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EX;Mercatorhof;2;8;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EZ;Stanleylaan;1;23;GOUDA                   ;B-7;onbekend;;;;;;;
2803 EZ;Stanleylaan;2;12;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GA;Beringlaan;1;23;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GA;Beringlaan;2;12;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GB;Scottlaan;1;23;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GC;Scottlaan;25;35;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GD;Hudsonlaan;1;11;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GD;Hudsonlaan;2;20;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GE;Marco Pololaan;1;7;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GG;Marco Pololaan;2;24;GOUDA                   ;B-7;onbekend;;;;;;;
2803 GH;Abel Tasmanlaan;1;9;GOUDA                   ;B-6;onbekend;;;;;;;
2803 GH;Abel Tasmanlaan;2;6;GOUDA                   ;B-6;onbekend;;;;;;;
2803 GJ;Abel Tasmanlaan;11;39;GOUDA                   ;B-6;onbekend;;;;;;;
2803 GK;Abel Tasmanlaan;8;30;GOUDA                   ;B-6;onbekend;;;;;;;
2803 GL;Abel Tasmanlaan;32;62;GOUDA                   ;B-6;onbekend;;;;;;;
2803 GM;Eerste Abel Tasmanhof;1;7;GOUDA                   ;B-6;onbekend;;;;;;;
2803 GM;Eerste Abel Tasmanhof;2;6;GOUDA                   ;B-6;onbekend;;;;;;;
